NOM;1_GEN_SG;2_GEN_PL;3_NOM_DEF
// DefInjected\ThingDef\* (\w+\.label)
adharc trombó;;;
adhmad;;;
ae;;;
ag eitilt;;;
agáibhe;;;
agaralacs;;;
aigéad;;;
aigéadóir báis;;;
aintéine trádála;;;
airgead;;;
altóir pósta;;;
ambróise;;;
aolchloch;;;
aolchloch mhín;;;
arbhar;;;
Arm neamhchríochnaithe;;;
Armúr ardleibhéil neamhchríochnaithe;;;
Armúr miotail neamhchríochnaithe;;;
armúr neamhchríochnaithe;;;
armúr plátáilte;;;
armúr saighdiúra;;;
armúr taiscéalaíochta;;;
babhlaer;;;
bacainn ársa;;;
badhralacs;;;
bainne;;;
bairille coipthe;;;
bairille treisithe;;;
báisín hidreaponaice;;;
balla;;;
bambú;;;
baracáid;;;
beacán beag;;;
béile deas;;;
béile deas (feoiliteora);;;
béile deas (veigeatóra);;;
béile fadmharthain;;;
béile galánta;;;
béile galánta (feoiliteora);;;
béile galánta (veigeatóra);;;
béile simplí;;;
béile taois chothaithigh;;;
beith;;;
beoir;;;
bia ainmhithe;;;
binse déantúsaíochta;;;
binse ealaíne;;;
binse meaisínithe;;;
binse snoíodóireachta;;;
binse taighde ardteicneolaíochta;;;
binse taighde simplí;;;
binse tailliúra;;;
bíogóir síceach ainmhithe;;;
bíogóir síceach suaimhneach;;;
bíoma struchtúrach spásloinge;;;
biorghunna;;;
bíosún;;;
Bitheonach neamhchríochnaithe;;;
bithscaglann;;;
blaosc;;;
bleachtphiseán;;;
bloic aolchloiche;;;
bloic eibhir;;;
bloic gaineamhchloiche;;;
bloic marmair;;;
bloic scláta;;;
bogha athchuartha;;;
bogha gearr;;;
bogha mór;;;
bord (1x2);;;
bord (2x2);;;
bord (2x4);;;
bord (3x3);;;
bord beag;;;
bord búistéireachta;;;
bord fichille;;;
bord pócair;;;
bord snúcair;;;
bord tailliúra leictreach;;;
bosca codlata ainmhí;;;
bosca uibheacha;;;
braiteoir cóngarachta;;;
braiteoirí spásloinge;;;
brat deataigh;;;
bríste;;;
bríste piléardhíonach;;;
bruithneoir leictreach;;;
bruscar;;;
buamáil;;;
cachtas pioncáis;;;
cachtas saguaró;;;
cadás;;;
caille;;;
caisearbhán;;;
campa tine;;;
canóin loiscneach;;;
caonach;;;
cathaoir;;;
cathaoir uilleach;;;
ceacróipe;;;
ceallra;;;
ceallra (trí thine);;;
Ceallra vanaiméadreach;;;
ceannbheart traidisiúnta;;;
ceárta breoslaithe;;;
ceárta leictreach;;;
ceimi-pheitreal;;;
cladán;;;
claíomh fada;;;
claíomh gearr;;;
cleith;;;
clóca;;;
clocha balctha;;;
clogad;;;
clogad saighdiúra;;;
clogad síceach;;;
clogad simplí;;;
clogad taiscéalaíochta;;;
cluas bhitheonach;;;
cluas chaoine;;;
cluiche na bhfáinní;;;
cluiche na gcrúite capaill;;;
cluiche úr;;;
cobra;;;
cochall;;;
cófra uirlisí;;;
cógas;;;
cógas geal-phláinéid;;;
cógas luibhe;;;
coirceog;;;
colún;;;
comhpháirt ardleibhéil;;;
comhpháirt neamhchríochnaithe;;;
comhpháirt spásloinge (bonnán síceach);;;
comhpháirt spásloinge (dífhoraoiseoir);;;
compháirt;;;
compháirteanna meaisínre;;;
cónra criptea-chodlata;;;
cónra criptea-chodlata ársa;;;
consól cumarsáide;;;
cos arcai-theicneolaíochta;;;
cos bhitheonach;;;
cos phróistéiteach;;;
craiceann laghairte;;;
crann;;;
crann cócó;;;
crann dragain;;;
crann pailme;;;
crannóg;;;
créamatóiriam;;;
crios cosanta;;;
crios neamhchríochnaithe;;;
croí;;;
croí bitheonach;;;
croí próistéiteach;;;
croí-chiorcad spásloinge;;;
cruach;;;
cruach balctha;;;
crúb chumhachta;;;
cruinnaimsitheoir: bombardú fithiseach;;;
cruinnaimsitheoir: léasar fithiseach;;;
cufróg;;;
cúr múchta tine;;;
dáileoir taois chothaithigh;;;
dair;;;
dealbh bheag;;;
dealbh mhór;;;
Dealbh neamhchríochnaithe;;;
dealbh ollmhór;;;
diabhalraithneach;;;
domlas;;;
doras;;;
doras ainmhithe;;;
doras maisithe;;;
dreigít (ar an mbealach);;;
driseacha;;;
drisiúr;;;
dromlach bitheonach;;;
druilire domhain;;;
duán;;;
duilleoga raithní;;;
duilleoga sícíte;;;
duine;;;
dúradán;;;
dustar;;;
éadach;;;
éadach neamhchríochnaithe;;;
éadach sintéiseach;;;
éadaí treibhe;;;
eibhear;;;
eibhear mín;;;
faolchú liath;;;
feadán teilifíseáin;;;
féar;;;
féar ard;;;
fear sneachta;;;
féar tirim;;;
fíniúin;;;
fuaraitheoir;;;
fuaraitheoir neamhchumhachtaithe;;;
fuil;;;
fuil feithide;;;
fungas;;;
gaineamh;;;
gaineamhchloch;;;
gaineamhchloch mín;;;
gaiste spící;;;
gaothaire;;;
géasar;;;
geata;;;
geo-scanóir;;;
giall bitheonach;;;
gineadóir adhmaid;;;
gineadóir ceimi-peitril;;;
gineadóir geoiteirmeach;;;
gineadóir síceach;;;
gineadóir tornádó;;;
giorria sneachta;;;
glóthach feithide;;;
gnáthleathan;;;
goile bitheonach;;;
gránáid;;;
gránáid leictreamaighnéadach;;;
gránáidí leictreamaighnéadacha;;;
gránghunna;;;
gránghunna uathoibríoch;;;
grianphainéal;;;
gruaig;;;
grúdlann;;;
gunna (túirín beag);;;
Gunna neamhchríochnaithe;;;
gunnán;;;
hata buachaill bó;;;
hiperéadach;;;
ikwa;;;
il-anailíseoir;;;
Imibreoir ceimiceach infinideach;;;
imoibreoir spásloinge;;;
inneal spásloinge;;;
intleacht shaorga;;;
ionphlandú cochla;;;
ithir scaoilte;;;
lainseálaí deataigh;;;
lainseálaí leictreamaighnéadach;;;
lainseálaí loiscneach;;;
lainseálaí podanna;;;
lainseálaí roicéad ollmhór;;;
lainseálaí roicéad triarach;;;
lámh arcai-theicneolaíochta;;;
lámh bitheonach;;;
lámh phróistéiteach;;;
lampa ársa;;;
lampa balla;;;
lampa gréine;;;
lampa seasta;;;
lansa pléascach;;;
lansa síceach;;;
lansa turrainge;;;
lasc;;;
láthair carbháin;;;
láthair cóisire;;;
leaba;;;
leaba ainmhí;;;
leaba dhúbailte;;;
leaba ospidéil;;;
leaba ríoga;;;
leabhragán;;;
leabhragán beag;;;
leacht cuimhneacháin ollmhór;;;
leadhb aolchloiche;;;
leadhb chruach;;;
leadhb eibhir;;;
leadhb gaineamhchloiche;;;
leadhb marmair;;;
leadhb scláta;;;
leadhb spásloinge;;;
leannlusanna;;;
léas cumhachta;;;
leathar daonna;;;
leathar éadrom;;;
leathar eilifinte;;;
leathar madra;;;
leathar srónbheannaigh;;;
leathar trombó;;;
léine;;;
lile;;;
lile fhiáin;;;
lochán ceimi-pheitril;;;
lochán uisce;;;
luaithreach;;;
luibh leighis;;;
lúicifiream;;;
mailp;;;
mála codlata;;;
mála codlata dúbailte;;;
málaí gainimh;;;
málaí gainimh scaipthe;;;
marcóir pionna;;;
marmar;;;
marmar mín;;;
más;;;
masc cogaidh;;;
Masc neamhchríochnaithe;;;
meaisínghunna beag;;;
meaisínghunna ilbhairille;;;
meaisínghunna mór;;;
meaisínphiostal;;;
meaisínre ársa;;;
meigeadhamhán;;;
meigeascarab;;;
mian airgid;;;
mian óir;;;
mianach deataigh;;;
mianach frithdhamhna;;;
mianach leictreamaighnéadach;;;
mianach loiscneach;;;
mianach múchta tine;;;
mianach pléascach;;;
moirtéar;;;
molotov;;;
monatóir leighis;;;
muileann uisce;;;
múisc;;;
neodraimín;;;
olann alpaca;;;
olann bhíosúin;;;
olann chaora;;;
olann mheigea-spadáin;;;
olann mhubhaill;;;
ór;;;
paca múchta tine;;;
Paca neamhchríochnaithe;;;
paistleathar;;;
parca;;;
peanocsaicílín;;;
peimicean;;;
péine;;;
pianstopallán;;;
plaisti-mhiotal;;;
plaisti-mhiotal balctha;;;
pléasc (gránghunna);;;
pléascadh;;;
pod breoch;;;
pod criptea-chodlata ársa;;;
pod criptea-chodlata spásloinge;;;
pod iompair;;;
pod iompair (ag imeacht);;;
pod iompair (ar an mbealach);;;
poibleog;;;
poitín;;;
pota plandaí;;;
prátaí;;;
preab-bhuama;;;
preabghunna;;;
Prostéiteach neamhchríochnaithe;;;
pumpa taise;;;
raidhfil boltála;;;
raidhfil ionsaithe;;;
raidhfil pléascach;;;
raidhfil snípéara;;;
raiflíse mhór;;;
raithneach;;;
reábaire pléascach;;;
rís;;;
róba;;;
róba-mhúinteoir teicneolaíochta;;;
roicéad;;;
roicéad ollmhór;;;
rós;;;
ruaim;;;
rud;;;
saighead (bogha athchuartha);;;
saighead (bogha gearr);;;
saighead (bogha mór);;;
saighead loiscneach;;;
saileach;;;
salachar;;;
salachar ainmhí;;;
saotharlann drugaí;;;
sarcafagas;;;
scamhóg;;;
Scanóir fadraoin;;;
scealp;;;
scéimléaráidí;;;
scian;;;
scláta;;;
scláta mín;;;
sconsa;;;
scrathóg;;;
seacláid;;;
séad;;;
seaicéad;;;
seaicéad piléardhíonach;;;
seilf;;;
seilf bheag;;;
séiream athbheoite;;;
séiream sláinte;;;
seithe béir;;;
seithe camaill;;;
seithe éin;;;
seithe ghorm;;;
seithe liopaird;;;
seithe mic ghuine;;;
seithe mic tíre;;;
seithe shionnaigh;;;
seithe sinsile;;;
seithe throm;;;
sícea-foirmeán;;;
sícít;;;
sinsile;;;
sionnach dearg;;;
síothal;;;
slag;;;
sleá;;;
sleánna;;;
sliogán (canóin thine);;;
sliogán (láinseálaí leictreamaighnéadach);;;
sliogán (leanseálaí deataigh);;;
sliogán deataigh;;;
sliogán EMP;;;
sliogán loiscneach;;;
sliogán múchta tine;;;
sliogán pléascach;;;
sliogán uath-chanóine;;;
sluga úráiniam;;;
smearadh fola;;;
smionagar;;;
smionagar ársa;;;
smionagar cloiche;;;
smionagar spásloinge (ar an mbealach);;;
smol;;;
soc pléascáin frithdhamhna;;;
solas ársa;;;
sorn breoslaithe;;;
sorn leictreach;;;
spástointealaí;;;
spástointealaí (ag craiseáil);;;
spástointealaí craiseáilte;;;
splanc;;;
spota búistéireachta;;;
spota ceardaíochta;;;
spota codlata;;;
spota codlata ainmhí;;;
spota codlata dúbailte;;;
spraoi-sreang;;;
spréire múctha tine;;;
sram;;;
sreabhán aimnianach;;;
sreang;;;
sreang fholaithe;;;
sreang uiscedhíonach;;;
stól;;;
stumpa briste;;;
stumpa dóite;;;
stumpa gearrtha;;;
sú fuinnimh;;;
sú muscailte;;;
súil arcai-theicneolaíochta;;;
súil bhitheonach;;;
sútha talún;;;
tae sícíte;;;
téac;;;
téacsleabhair;;;
teanga bhitheonach;;;
teileascóp;;;
teilifís mórscáileáin;;;
teilifís réscáileáin;;;
téitheoir;;;
tine;;;
tionctóire;;;
t-léine;;;
tóc;;;
tóirse;;;
tóirse balla;;;
toitín raithní;;;
tolg;;;
tollán;;;
tom;;;
tom ambróise;;;
tom caora;;;
tor gallda;;;
tornádó;;;
torsca eilifinte;;;
tua;;;
tuilsolas;;;
tuirbín gaoithe;;;
uaigh;;;
uath-chanóin;;;
uath-dhoras;;;
uathphiostal;;;
ubh casabhara (toirch.);;;
ubh cobra (toirch.);;;
ubh éamú (toirch.);;;
ubh gé (neamhthoirch.);;;
ubh gé (toirch.);;;
ubh ioguána (toirch.);;;
ubh lachan (neamhthoirch.);;;
ubh lachan (toirch.);;;
ubh ostraise (toirch.);;;
ubh sicín (neamhthoirch.);;;
ubh sicín (toirch.);;;
ubh toirtíse (toirch.);;;
ubh turcaí (toirch.);;;
uirlis cheoil neamhchríochnaithe;;;
úráiniam;;;
urchar (gunnán);;;
urchar (lansa pléascach);;;
urchar (meaisínghunna beag);;;
urchar (meaisínghunna ilbhairille);;;
urchar (meaisínghunna mór);;;
urchar (meaisínphiostal);;;
urchar (raidhfil boltála);;;
urchar (raidhfil ionsaithe);;;
urchar (raidhfil pléascach);;;
urchar (raidhfil snípéara);;;
urchar (reábaire pléascach);;;
urchar (snáthaid);;;
urchar (tuirín beag);;;
urchar (uathphiostal);;;
úrscéalta;;;
veist philéardhíonach;;;
yáyó;;;
